unix_time,timezone,datetime,station_id,unk1,unk2,unk3,lat,long,rain,temp,humidity,pressure,wind_speed,wind_dir,uv,co2,pm1,pm25,pm4,pm10,light_r,light_g,light_b,light_ir,light_vis
1769446896,Asia/Bangkok,2026-01-27 00:01:00,S1-0000898463,860384061494164,93.90,100,14.15896606,101.34609222,0.00,22.40,73.57,1011.61,0.00,296,0.03,454,20.11,20.71,20.71,20.13,0.00,0.00,0.00,0.00,0.00
1769447196,Asia/Bangkok,2026-01-27 00:06:00,S1-0000898463,860384061494164,93.90,100,14.15896606,101.34609222,0.00,22.31,73.18,1011.63,0.00,305,0.04,450,20.96,22.17,22.17,22.17,0.00,0.00,0.00,0.00,0.00
1769447496,Asia/Bangkok,2026-01-27 00:11:00,S1-0000898463,860384061494164,93.90,100,14.15896606,101.34609222,0.00,22.31,75.70,1011.65,0.00,242,0.03,448,27.44,31.63,33.76,34.83,0.00,0.00,0.00,0.00,0.00
1769447796,Asia/Bangkok,2026-01-27 00:16:00,S1-0000898463,860384061494164,93.90,100,14.15896606,101.34609222,0.00,22.16,75.08,1011.69,0.00,287,0.03,453,27.98,29.85,30.06,30.16,0.00,0.00,0.00,0.0008,0.00
1769448096,Asia/Bangkok,2026-01-27 00:21:00,S1-0000898463,860384061494164,93.90,100,14.15896606,101.34609222,0.00,22.08,74.65,1011.63,0.00,316,0.03,455,18.59,19.66,19.66,19.66,0.00,0.00,0.00,0.00,0.00
1769448396,Asia/Bangkok,2026-01-27 00:26:00,S1-0000898463,860384061494164,93.90,100,14.15896606,101.34609222,0.00,22.07,75.35,1011.59,0.00,315,0.01,450,30.55,33.52,34.51,34.29,0.00,0.00,0.00,0.00,0.00
1769448696,Asia/Bangkok,2026-01-27 00:31:00,S1-0000898463,860384061494164,93.90,100,14.15896606,101.34609222,0.00,22.01,76.34,1011.59,0.00,315,0.03,455,33.34,36.06,36.71,37.04,0.00,0.00,0.00,0.00,0.00
1769448996,Asia/Bangkok,2026-01-27 00:36:00,S1-0000898463,860384061494164,93.90,100,14.15907955,101.34616089,0.00,21.94,77.10,1011.60,0.00,312,0.03,475,20.37,24.53,26.26,27.13,0.00,0.00,0.00,0.00,0.00
1769449296,Asia/Bangkok,2026-01-27 00:41:00,S1-0000898463,860384061494164,93.12,100,14.15907955,101.34616089,0.00,21.78,78.53,1011.57,0.00,294,0.04,473,23.44,24.79,24.79,24.79,0.00,0.00,0.00,0.00,0.00
1769449596,Asia/Bangkok,2026-01-27 00:46:00,S1-0000898463,860384061494164,93.90,100,14.15907955,101.34616089,0.00,21.55,79.13,1011.55,0.00,290,0.02,492,26.68,29.54,30.62,31.16,0.00,0.00,0.00,0.00,0.00
