unix_time,timezone,datetime,station_id,unk1,unk2,unk3,lat,long,rain,temp,humidity,pressure,wind_speed,wind_dir,uv,co2,pm1,pm25,pm4,pm10,light_r,light_g,light_b,light_ir,light_vis
1757049564,Africa/Malabo,2025-09-05 06:19:00,S1-0000898463,860384061494164,63.43,100,0,0,0.00,27.37,65.90,1008.73,0.00,125,0.03,550,0.35,1.65,1.77,2.10,0.00,0.00,0.00,0.00,0.00
1757049803,Asia/Bangkok,2025-09-05 12:23:00,S1-0000898463,860384061494164,63.43,100,13.69842911,100.70180511,0.00,28.30,64.55,1008.59,0.00,125,0.02,-999,1.24,0.82,0.82,0.82,0.00,0.00,0.00,0.00,0.00
1757050061,Asia/Bangkok,2025-09-05 12:27:00,S1-0000898463,860384061494164,69.24,100,13.69842911,100.70180511,0.00,29.23,63.11,1008.44,0.00,125,0.04,915,0.65,0.48,0.48,0.48,0.00,0.00,0.00,0.00,0.00
1757050361,Asia/Bangkok,2025-09-05 12:32:00,S1-0000898463,860384061494164,69.24,100,13.69842911,100.70180511,0.00,30.01,61.52,1008.32,0.00,125,0.03,920,0.22,2.24,3.87,4.69,0.00,0.00,0.00,0.00,0.00
1757050961,Asia/Bangkok,2025-09-05 12:42:00,S1-0000898463,860384061494164,80.76,100,13.69842911,100.70180511,0.00,31.28,59.11,1008.08,0.00,125,0.06082,975,0.68,0.77,0.84,0.88,0.00,0.00,0.00,0.00,0.55
1757051561,Asia/Bangkok,2025-09-05 12:52:00,S1-0000898463,860384061494164,74.53,100,13.69842911,100.70180511,0.00,32.20,56.74,1007.82,0.00,125,0.02,988,0.68,0.63,0.63,0.63,0.00,0.00,0.00,0.00,0.00
1757051862,Asia/Bangkok,2025-09-05 12:57:00,S1-0000898463,860384061494164,77.76,100,13.69842911,100.70180511,0.00,32.57,56.61,1007.66,0.00,125,0.01,1004,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00
1757052161,Asia/Bangkok,2025-09-05 13:02:00,S1-0000898463,860384061494164,77.76,100,13.69842911,100.70180511,0.00,32.88,55.78,1007.51,0.00,125,0.05,1021,0.69,0.40,0.40,0.40,0.00,0.00,0.00,0.00,0.00
1757052553,Asia/Bangkok,2025-09-05 13:09:00,S1-0000898463,860384061494164,80.76,100,13.69842911,100.70180511,0.00,33.14,55.17,1007.37,0.00,125,0.04,1020,0.71,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00
1757052846,Asia/Bangkok,2025-09-05 13:14:00,S1-0000898463,860384061494164,82.18,100,13.69770908,100.70151520,0.00,33.37,54.63,1007.22,0.00,125,0.02,1083,0.59,0.87,1.07,1.17,0.00,0.00,0.00,0.00,0.00
1757053061,Asia/Bangkok,2025-09-05 13:17:00,S1-0000898463,860384061494164,83.53,100,13.69770908,100.70151520,0.00,33.55,54.09,1007.10,0.00,125,0.03,982,0.82,3.52,5.66,6.73,0.00,0.00,0.00,0.00,0.00
1757053361,Asia/Bangkok,2025-09-05 13:22:00,S1-0000898463,860384061494164,83.53,100,13.69770908,100.70151520,0.00,33.76,53.27,1007.02,0.00,125,0.03,1031,0.59,0.93,1.24,1.40,0.00,0.00,0.00,0.00,0.00
1757053661,Asia/Bangkok,2025-09-05 13:27:00,S1-0000898463,860384061494164,86.07,100,13.69770908,100.70151520,0.00,33.91,50.88,1006.87,0.00,125,0.03,1025,0.59,1.23,1.84,2.14,0.00,0.00,0.00,0.00,0.00
1757053961,Asia/Bangkok,2025-09-05 13:32:00,S1-0000898463,860384061494164,89.44,100,13.69770908,100.70151520,0.00,33.97,49.59,1006.75,0.00,125,0.02,1035,3.07,4.36,5.10,5.52,0.00,0.00,0.00,0.00,0.00
